,Tanggal,Keterangan,Harga
3686,25/06/2015,GOLD,Rp 511.000
3687,24/06/2015,BUYBACK,Rp 495.000
3688,24/06/2015,GOLD,Rp 512.000
3689,23/06/2015,BUYBACK,Rp 498.000
3690,23/06/2015,GOLD,Rp 515.000
3691,22/06/2015,BUYBACK,Rp 503.000
3692,22/06/2015,GOLD,Rp 519.000
3693,19/06/2015,BUYBACK,Rp 505.000
3694,19/06/2015,GOLD,Rp 520.000
3695,18/06/2015,BUYBACK,Rp 501.000
3696,18/06/2015,GOLD,Rp 516.000
3697,17/06/2015,BUYBACK,Rp 498.000
3698,17/06/2015,GOLD,Rp 514.000
3699,12/06/2015,BUYBACK,Rp 497.000
3700,12/06/2015,GOLD,Rp 513.000
3701,11/06/2015,BUYBACK,Rp 500.000
3702,11/06/2015,GOLD,Rp 515.000
3703,10/06/2015,BUYBACK,Rp 499.000
3704,10/06/2015,GOLD,Rp 513.000
3705,09/06/2015,BUYBACK,Rp 498.000
3706,09/06/2015,GOLD,Rp 511.000
3707,08/06/2015,BUYBACK,Rp 492.000
3708,08/06/2015,GOLD,Rp 509.000
3709,05/06/2015,BUYBACK,Rp 496.000
3710,05/06/2015,GOLD,Rp 510.000
3711,04/06/2015,BUYBACK,Rp 497.000
3712,04/06/2015,GOLD,Rp 511.000
3713,03/06/2015,BUYBACK,Rp 500.000
3714,03/06/2015,GOLD,Rp 514.000
3715,01/06/2015,BUYBACK,Rp 499.000
3716,01/06/2015,GOLD,Rp 513.000
3717,29/05/2015,BUYBACK,Rp 497.000
3718,29/05/2015,GOLD,Rp 511.000
3719,28/05/2015,BUYBACK,Rp 497.000
3720,28/05/2015,GOLD,Rp 512.000
3721,27/05/2015,BUYBACK,Rp 495.000
3722,27/05/2015,GOLD,Rp 510.000
3723,26/05/2015,BUYBACK,Rp 502.000
3724,26/05/2015,GOLD,Rp 515.000
3725,25/05/2015,BUYBACK,Rp 498.000
3726,25/05/2015,GOLD,Rp 513.000
3727,22/05/2015,BUYBACK,Rp 498.000
3728,22/05/2015,GOLD,Rp 515.000
3729,21/05/2015,BUYBACK,Rp 497.000
3730,21/05/2015,GOLD,Rp 517.000
3731,20/05/2015,BUYBACK,Rp 497.000
3732,20/05/2015,GOLD,Rp 517.000
3733,19/05/2015,BUYBACK,Rp 499.000
3734,19/05/2015,GOLD,Rp 519.000
3735,18/05/2015,BUYBACK,Rp 499.000
3736,18/05/2015,GOLD,Rp 518.000
3737,15/05/2015,BUYBACK,Rp 499.000
3738,15/05/2015,GOLD,Rp 519.000
3739,13/05/2015,BUYBACK,Rp 495.000
