,Tanggal,Keterangan,Harga
1362,13/02/2020,BUYBACK,Rp 689.000
1363,13/02/2020,GOLD,Rp 774.000
1364,12/02/2020,BUYBACK,Rp 689.000
1365,12/02/2020,GOLD,Rp 774.000
1366,11/02/2020,BUYBACK,Rp 692.000
1367,11/02/2020,GOLD,Rp 776.000
1368,10/02/2020,BUYBACK,Rp 690.000
1369,10/02/2020,GOLD,Rp 775.000
1370,07/02/2020,BUYBACK,Rp 687.000
1371,07/02/2020,GOLD,Rp 772.000
1372,06/02/2020,BUYBACK,Rp 685.000
1373,06/02/2020,GOLD,Rp 770.000
1374,05/02/2020,BUYBACK,Rp 687.000
1375,05/02/2020,GOLD,Rp 771.000
1376,04/02/2020,BUYBACK,Rp 695.000
1377,04/02/2020,GOLD,Rp 778.000
1378,03/02/2020,BUYBACK,Rp 696.000
1379,03/02/2020,GOLD,Rp 779.000
1380,01/02/2020,BUYBACK,Rp 697.000
1381,01/02/2020,GOLD,Rp 781.000
1382,31/01/2020,BUYBACK,Rp 690.000
1383,31/01/2020,GOLD,Rp 774.000
1384,30/01/2020,BUYBACK,Rp 690.000
1385,30/01/2020,GOLD,Rp 774.000
1386,29/01/2020,BUYBACK,Rp 687.000
1387,29/01/2020,GOLD,Rp 771.000
1388,28/01/2020,BUYBACK,Rp 690.000
1389,28/01/2020,GOLD,Rp 774.000
1390,27/01/2020,BUYBACK,Rp 690.000
1391,27/01/2020,GOLD,Rp 774.000
1392,24/01/2020,BUYBACK,Rp 683.000
1393,24/01/2020,GOLD,Rp 768.000
1394,23/01/2020,BUYBACK,Rp 686.000
1395,23/01/2020,GOLD,Rp 772.000
1396,22/01/2020,BUYBACK,Rp 683.000
1397,22/01/2020,GOLD,Rp 769.000
1398,21/01/2020,BUYBACK,Rp 684.000
1399,21/01/2020,GOLD,Rp 771.000
1400,20/01/2020,BUYBACK,Rp 682.000
1401,20/01/2020,GOLD,Rp 769.000
1402,18/01/2020,BUYBACK,Rp 682.000
1403,18/01/2020,GOLD,Rp 770.000
1404,17/01/2020,BUYBACK,Rp 680.000
1405,17/01/2020,GOLD,Rp 768.000
1406,16/01/2020,BUYBACK,Rp 685.000
1407,16/01/2020,GOLD,Rp 772.000
1408,15/01/2020,BUYBACK,Rp 679.000
1409,15/01/2020,GOLD,Rp 767.000
1410,14/01/2020,BUYBACK,Rp 679.000
1411,14/01/2020,GOLD,Rp 767.000
1412,13/01/2020,BUYBACK,Rp 692.000
1413,13/01/2020,GOLD,Rp 778.000
1414,11/01/2020,BUYBACK,Rp 693.000
1415,11/01/2020,GOLD,Rp 780.000
1416,10/01/2020,BUYBACK,Rp 690.000
1417,10/01/2020,GOLD,Rp 777.000
1418,09/01/2020,BUYBACK,Rp 696.000
1419,09/01/2020,GOLD,Rp 782.000
1420,08/01/2020,BUYBACK,Rp 714.000
1421,08/01/2020,GOLD,Rp 799.000
1422,07/01/2020,BUYBACK,Rp 700.000
1423,07/01/2020,GOLD,Rp 784.000
1424,06/01/2020,BUYBACK,Rp 700.000
1425,06/01/2020,GOLD,Rp 783.000
1426,04/01/2020,BUYBACK,Rp 693.000
1427,04/01/2020,GOLD,Rp 774.000
1428,03/01/2020,BUYBACK,Rp 683.000
1429,03/01/2020,GOLD,Rp 766.000
1430,02/01/2020,BUYBACK,Rp 678.000
1431,02/01/2020,GOLD,Rp 762.000
1432,30/12/2019,BUYBACK,Rp 678.000
1433,30/12/2019,GOLD,Rp 762.000
1434,27/12/2019,BUYBACK,Rp 678.000
1435,27/12/2019,GOLD,Rp 762.000
1436,26/12/2019,BUYBACK,Rp 673.000
1437,26/12/2019,GOLD,Rp 758.000
1438,23/12/2019,BUYBACK,Rp 665.000
1439,23/12/2019,GOLD,Rp 752.000
1440,21/12/2019,BUYBACK,Rp 665.000
1441,21/12/2019,GOLD,Rp 752.000
1442,20/12/2019,BUYBACK,Rp 664.000
1443,20/12/2019,GOLD,Rp 751.000
1444,19/12/2019,BUYBACK,Rp 664.000
1445,19/12/2019,GOLD,Rp 751.000
1446,18/12/2019,BUYBACK,Rp 664.500
1447,18/12/2019,GOLD,Rp 752.000
1448,17/12/2019,BUYBACK,Rp 664.000
1449,17/12/2019,GOLD,Rp 751.000
1450,16/12/2019,BUYBACK,Rp 662.500
1451,16/12/2019,GOLD,Rp 749.000
1452,14/12/2019,BUYBACK,Rp 663.000
1453,14/12/2019,GOLD,Rp 750.000
1454,13/12/2019,BUYBACK,Rp 661.000
1455,13/12/2019,GOLD,Rp 746.000
1456,12/12/2019,BUYBACK,Rp 664.500
1457,12/12/2019,GOLD,Rp 750.000
1458,11/12/2019,BUYBACK,Rp 658.500
1459,11/12/2019,GOLD,Rp 744.000
1460,10/12/2019,BUYBACK,Rp 658.000
1461,10/12/2019,GOLD,Rp 743.000
1462,09/12/2019,BUYBACK,Rp 659.000
1463,09/12/2019,GOLD,Rp 744.000
1464,07/12/2019,BUYBACK,Rp 662.500
1465,07/12/2019,GOLD,Rp 747.000
1466,06/12/2019,BUYBACK,Rp 668.000
1467,06/12/2019,GOLD,Rp 751.000
1468,05/12/2019,BUYBACK,Rp 669.500
1469,05/12/2019,GOLD,Rp 752.000
1470,04/12/2019,BUYBACK,Rp 670.500
1471,04/12/2019,GOLD,Rp 753.000
1472,03/12/2019,BUYBACK,Rp 663.000
1473,03/12/2019,GOLD,Rp 747.000
1474,02/12/2019,BUYBACK,Rp 661.500
1475,02/12/2019,GOLD,Rp 746.000
1476,30/11/2019,BUYBACK,Rp 663.500
1477,30/11/2019,GOLD,Rp 747.000
